#[3, 1, 0, 3, 0, 3, 0, 2, 1, 0, 2, 1, 0, 0, 0, 1]
1.000000	-1272.328609
#[3, 1, 0, 3, 0, 3, 0, 2, 1, 0, 2, 1, 0, 1, 0, 1]
11.000000	-940.062732
#[1, 1, 0, 3, 0, 3, 0, 2, 1, 0, 2, 1, 3, 0, 0, 1]
11.000000	-162.663648
#[1, 1, 0, 3, 0, 3, 0, 2, 1, 0, 2, 1, 0, 0, 0, 1]
11.000000	-152.153958
#[1, 1, 0, 0, 0, 3, 0, 2, 1, 0, 2, 1, 0, 0, 0, 1]
21.000000	-139.761924
#[1, 1, 0, 3, 0, 3, 0, 2, 1, 0, 2, 1, 0, 1, 0, 1]
21.000000	-113.595059
#[1, 1, 0, 3, 0, 0, 1, 2, 1, 0, 2, 1, 0, 1, 0, 1]
31.000000	-64.438157
#[1, 1, 0, 3, 0, 3, 0, 2, 1, 1, 2, 0, 0, 1, 0, 1]
31.000000	-21.908774
#[1, 1, 0, 3, 0, 3, 2, 2, 1, 1, 2, 0, 0, 1, 0, 1]
41.000000	-19.068995
#[1, 1, 0, 3, 0, 3, 2, 2, 1, 2, 2, 0, 0, 1, 0, 1]
51.000000	-2.459941
#[1, 1, 0, 3, 0, 2, 2, 2, 1, 1, 2, 0, 0, 1, 0, 1]
51.000000	-0.842858
#[1, 0, 0, 3, 0, 2, 2, 0, 1, 1, 2, 0, 0, 1, 0, 1]
61.000000	-0.829943
#[1, 1, 0, 0, 0, 2, 2, 2, 1, 1, 2, 0, 0, 1, 0, 1]
61.000000	0.306900
